group,item,count
source_type,不可移动文物,484
source_type,历史建筑名录,34
source_type,特色古村落,34
source_type,传统村落,18
source_type,博物馆,11
source_type,历史文化名村,7
source_type,历史文化街区,3
source_type,灌溉遗产,1
source_type,历史文化名镇,1
town,狮山镇,142
town,西樵镇,126
town,大沥镇,90
town,里水镇,83
town,九江镇,56
town,丹灶镇,50
town,桂城街道,46
spatial_method,town_representative_point,148
spatial_method,address_token_centroid,138
spatial_method,poi_name_fuzzy,134
spatial_method,existing_anchor_name,95
spatial_method,poi_name_exact,73
spatial_method,existing_anchor_fuzzy,5
dedup_status,new_candidate,424
dedup_status,duplicate_existing_anchor,96
dedup_status,matched_poi_only,73
