方法,变量1,变量2,相关系数
Pearson,CMI,CMI,1.0
Pearson,CMI,OAI,0.264
Pearson,CMI,THI,0.011
Pearson,CMI,MI,-0.585
Pearson,OAI,CMI,0.264
Pearson,OAI,OAI,1.0
Pearson,OAI,THI,0.146
Pearson,OAI,MI,-0.461
Pearson,THI,CMI,0.011
Pearson,THI,OAI,0.146
Pearson,THI,THI,1.0
Pearson,THI,MI,0.684
Pearson,MI,CMI,-0.585
Pearson,MI,OAI,-0.461
Pearson,MI,THI,0.684
Pearson,MI,MI,1.0
Spearman,CMI,CMI,1.0
Spearman,CMI,OAI,0.249
Spearman,CMI,THI,0.023
Spearman,CMI,MI,-0.544
Spearman,OAI,CMI,0.249
Spearman,OAI,OAI,1.0
Spearman,OAI,THI,0.125
Spearman,OAI,MI,-0.439
Spearman,THI,CMI,0.023
Spearman,THI,OAI,0.125
Spearman,THI,THI,1.0
Spearman,THI,MI,0.671
Spearman,MI,CMI,-0.544
Spearman,MI,OAI,-0.439
Spearman,MI,THI,0.671
Spearman,MI,MI,1.0
