name,town,mi_category,review_n,culture_review_n,culture_review_ratio,top_keywords
湖山胜迹门楼,西樵镇,空心景点区,88,31,35.2,西樵山、庙、黄飞鸿、醒狮、南海、历史
云泉仙馆,西樵镇,核心耦合区,87,30,34.5,西樵山、庙、黄飞鸿、醒狮、南海、历史
小云亭,西樵镇,空心景点区,86,29,33.7,西樵山、庙、黄飞鸿、醒狮、南海、历史
光分亭,西樵镇,空心景点区,42,28,66.7,西樵山、文化、庙、道教、南海、历史
象林塔,西樵镇,空心景点区,41,28,68.3,西樵山、文化、庙、道教、南海、历史
南海农谚,桂城街道,空心景点区,36,25,69.4,博物馆、岭南、南海、文化、展览、文物
平洲传统玉器制作技艺,桂城街道,核心耦合区,21,8,38.1,文化、玉器、平洲玉器、博物馆、展览、历史
九江吴家大院,九江镇,核心耦合区,20,6,30.0,吴家大院、南海、历史、展览、博物馆、文化
西樵山百步云梯,西樵镇,核心耦合区,12,5,41.7,西樵山、历史、文化、岭南、康有为、黄飞鸿
西樵山抗日阵亡将士暨死难同胞纪念碑,西樵镇,核心耦合区,11,4,36.4,西樵山、历史、文化、岭南、康有为、黄飞鸿
西樵山仙姑亭,西樵镇,沉睡潜力区,0,0,0.0,
西樵镇松塘村,西樵镇,沉睡潜力区,0,0,0.0,
九江镇烟桥烟南村,九江镇,沉睡潜力区,0,0,0.0,
丹灶镇仙岗社区,丹灶镇,沉睡潜力区,0,0,0.0,
赛龙舟（九江传统龙舟）,九江镇,沉睡潜力区,0,0,0.0,
