status,culture,scenic,match_type,notes
强耦合,广东醒狮,南海醒狮传承基地,实体对应,国家级非遗有传承基地
强耦合,广东醒狮,黄飞鸿中联电缆武术龙狮协会,实体对应,省级传承基地
强耦合,咏春拳,咏春拳叶问宗支传承基地,实体对应,省级非遗有传承基地
强耦合,九江双蒸酒酿制技艺,九江双蒸博物馆,实体对应,省级非遗有博物馆载体
强耦合,佛山十番,佛山十番传承基地,实体对应,国家级非遗有传承基地
强耦合,盐步老龙礼俗,盐步老龙礼俗传承基地,实体对应,省级非遗有传承基地
强耦合,官窑生菜会,官窑生菜会传承基地,实体对应,省级非遗有传承基地
强耦合,黄飞鸿武术文化,黄飞鸿纪念馆,文化承载,武术文化核心人物有纪念馆
强耦合,康有为维新思想,康有为故居,文化承载,近代思想文化有故居载体
强耦合,孔子后裔文化,孔村至圣家庙,文化承载,孔子后裔聚居有祠堂
强耦合,葛洪炼丹传说,丹灶葛洪炼丹传说纪念地,文化承载,道教医药文化有纪念地
强耦合,龙舟竞渡,叠滘弯道赛龙船,实体对应,市级非遗活态传承
强耦合,乐安花灯会,乐安花灯会传承基地,实体对应,省级非遗有传承基地
强耦合,大沥锦龙盛会,大沥镇锦龙盛会传承基地,实体对应,市级非遗有传承基地
强耦合,藤编技艺,藤编里水传承基地,实体对应,省级非遗有传承基地
强耦合,金箔锻造技艺,金箔锻造技艺传习所,实体对应,省级非遗有传习所
错位,松塘翰林文化,松塘古村,空间共存,科举文化保存在古村落中
错位,岭南理学/书院文化,西樵山书院遗址,空间共存,四大书院遗址在西樵山
错位,岭南理学/书院文化,西樵山风景名胜区,空间共存,理学名山同为景区
错位,古村落建筑文化,烟桥古村,空间共存,古村落同时是旅游景点
错位,古村落建筑文化,仙岗古村,空间共存,古村落同时是旅游景点
错位,宗教信仰文化,南海观音寺,主题关联,佛教文化有实体寺庙
错位,宗教信仰文化,宝峰寺,主题关联,西樵山古刹
错位,平洲玉器文化,平洲玉器街,主题关联,传统技艺有商业街区
错位,水乡文化,里水梦里水乡,主题关联,岭南水乡风情旅游
缺失A(文化未转化),洪拳（南海洪拳）,,省级,无专门的展示场馆或体验景点
缺失A(文化未转化),白眉拳,,市级,仅有学校传承基地，缺少面向游客的体验点
缺失A(文化未转化),九江煎堆制作技艺,,省级,无专门的展示或体验场所
缺失A(文化未转化),九江鱼花生产习俗,,省级,养殖基地未开发为旅游点
缺失A(文化未转化),广式家具制作技艺,,省级,无面向公众的展示馆
缺失A(文化未转化),西樵传统缫丝技艺,,市级,丝厂传承但未开放旅游
缺失A(文化未转化),香云纱坯纱织造技艺,,市级,企业传承，未开放参观
缺失A(文化未转化),龙舟说唱,,市级,无固定演出场所
缺失A(文化未转化),三山咸水歌,,市级,濒危状态，缺少活态展示
缺失A(文化未转化),南海灰塑,,市级,技艺散落于古建筑中，缺少专题展馆
缺失A(文化未转化),南海竹编,,市级,传承基地在文化站，未开放旅游
缺失A(文化未转化),赤坎盲公话,,区级,方言类非遗，缺少体验载体
缺失A(文化未转化),南海农谚,,区级,口头文学，缺少实体展示
缺失A(文化未转化),西樵山传说,,区级,与景区融合度低
缺失B(有形无魂),,千灯湖公园,公园绿地,现代城市公园，缺少文化内涵植入
缺失B(有形无魂),,映月湖公园,公园绿地,休闲空间，文化底蕴薄弱
缺失B(有形无魂),,南海湿地公园,公园绿地,生态景观，与南海文化关联弱
缺失B(有形无魂),,南海影视城,休闲娱乐,影视拍摄基地，非南海本土文化表达
缺失B(有形无魂),,南海体育中心,体育设施,现代设施，与传统体育文化关联弱
缺失B(有形无魂),,贤鲁岛,自然景观,生态旅游为主，文化挖掘不足
