scenario,name,town,baseline_category,scenario_category,cmi,oai,thi,mi
文化侧加权,绮亭陈公祠,西樵镇,一般耦合区,空心景点区,29.4,75.0,54.38,11.3
文化侧加权,火石迳遗址,西樵镇,一般耦合区,空心景点区,0.0,75.0,36.33,13.83
文化侧加权,字祖庙,西樵镇,空心景点区,核心耦合区,74.17,50.0,76.09,9.17
文化侧加权,松塘塘西六世祖祠,西樵镇,一般耦合区,空心景点区,32.99,50.0,49.01,10.92
文化侧加权,松塘太史第,西樵镇,一般耦合区,空心景点区,29.66,50.0,46.88,11.12
文化侧加权,西樵山百步云梯,西樵镇,核心耦合区,沉睡潜力区,98.58,50.0,66.51,-17.5
文化侧加权,西樵山抗日阵亡将士暨死难同胞纪念碑,西樵镇,核心耦合区,沉睡潜力区,98.61,50.0,65.58,-18.45
文化侧加权,仙迹丹泉,丹灶镇,一般耦合区,空心景点区,0.0,75.0,38.31,15.81
文化侧加权,东联吴氏大宗祠,丹灶镇,沉睡潜力区,一般耦合区,36.48,50.0,31.57,-8.97
文化侧加权,通心岗遗址,丹灶镇,一般耦合区,空心景点区,0.0,50.0,33.92,18.92
文化侧加权,上东岑局楼,九江镇,一般耦合区,空心景点区,0.0,50.0,34.15,19.15
文化侧加权,破排角遗址,九江镇,一般耦合区,空心景点区,0.0,50.0,29.08,14.08
文化侧加权,西樵山天湖,西樵镇,一般耦合区,核心耦合区,99.06,0.0,77.41,8.07
文化侧加权,平沙岛,西樵镇,一般耦合区,沉睡潜力区,27.06,0.0,7.09,-11.85
文化侧加权,大岸圩,西樵镇,一般耦合区,沉睡潜力区,27.06,0.0,7.09,-11.85
文化侧加权,松塘村孔子诞,西樵镇,一般耦合区,沉睡潜力区,64.76,25.0,39.67,-13.16
文化侧加权,大头佛（民乐大头佛）,西樵镇,一般耦合区,沉睡潜力区,57.1,25.0,34.83,-12.64
官方侧加权,锦岩遗址,西樵镇,空心景点区,一般耦合区,25.62,75.0,68.75,8.56
官方侧加权,傅氏山庄南门,西樵镇,空心景点区,一般耦合区,0.0,50.0,42.18,7.18
官方侧加权,松塘汇川家塾,西樵镇,空心景点区,一般耦合区,19.99,50.0,46.88,5.88
官方侧加权,松塘见五大夫祠,西樵镇,空心景点区,一般耦合区,19.99,50.0,46.88,5.88
官方侧加权,松塘司马第,西樵镇,空心景点区,一般耦合区,19.99,50.0,46.88,5.88
官方侧加权,翠岩摩崖石刻,西樵镇,空心景点区,一般耦合区,29.4,50.0,51.5,7.68
官方侧加权,阴骘井,丹灶镇,空心景点区,一般耦合区,0.0,50.0,38.31,3.31
官方侧加权,恒德徐公祠,丹灶镇,空心景点区,一般耦合区,10.25,50.0,41.15,3.07
官方侧加权,西城圩市建筑群,丹灶镇,沉睡潜力区,一般耦合区,25.43,0.0,0.0,-7.63
官方侧加权,苏州银河,丹灶镇,沉睡潜力区,一般耦合区,25.62,0.0,0.0,-7.69
官方侧加权,朝山红楼,西樵镇,一般耦合区,空心景点区,17.3,0.0,17.49,12.3
官方侧加权,银河桥市,丹灶镇,沉睡潜力区,一般耦合区,25.62,0.0,0.0,-7.69
官方侧加权,大岗圩,西樵镇,沉睡潜力区,一般耦合区,45.54,0.0,11.57,-2.09
官方侧加权,南海竹编,丹灶镇,空心景点区,一般耦合区,0.0,50.0,42.92,7.92
官方侧加权,里水毛巾织造技艺,里水镇,沉睡潜力区,一般耦合区,57.56,25.0,31.01,-3.76
POI导向THI,翠岩摩崖石刻,西樵镇,空心景点区,一般耦合区,29.4,50.0,49.27,9.57
POI导向THI,西樵山抗日阵亡将士暨死难同胞纪念碑,西樵镇,核心耦合区,沉睡潜力区,98.61,50.0,63.68,-10.63
POI导向THI,朝山红楼,西樵镇,一般耦合区,空心景点区,17.3,0.0,21.86,13.21
POI导向THI,大岗圩,西樵镇,沉睡潜力区,一般耦合区,45.54,0.0,14.46,-8.31
POI导向THI,里水毛巾织造技艺,里水镇,沉睡潜力区,一般耦合区,57.56,25.0,31.46,-9.82
评论导向THI,东联吴氏大宗祠,丹灶镇,沉睡潜力区,一般耦合区,36.48,50.0,33.29,-9.95
评论导向THI,横江圩,丹灶镇,空心景点区,一般耦合区,0.0,0.0,9.42,9.42
