town,anchor_count,poi_total,cmi_mean,oai_mean,thi_mean,mi_mean
nan,80,0,30.99,57.19,43.62,-0.47
西樵镇,26,1055,52.71,27.88,34.95,-5.35
未标注,18,0,27.89,0.0,31.73,17.78
九江镇,15,259,36.71,35.0,35.85,-0.0
丹灶镇,11,1086,39.84,29.55,37.96,3.27
狮山镇,3,2233,22.62,41.67,15.41,-16.74
桂城街道,3,4174,17.03,50.0,54.63,21.12
里水镇,1,2625,53.21,25.0,0.0,-39.11
松塘村,1,0,71.81,100.0,5.73,-80.17
简村村,1,0,74.11,75.0,38.17,-36.38
村头村,1,0,69.39,75.0,9.09,-63.11
仙岗村,1,0,57.69,75.0,5.73,-60.61
棋盘村,1,0,58.47,75.0,0.0,-66.74
仙岗社区,1,0,57.28,100.0,5.73,-72.91
百西社区,1,0,68.6,75.0,34.88,-36.92
和平村,1,0,56.86,75.0,37.49,-28.44
