name,level,town,lng,lat,category,geocode_source,geocode_address
狮舞（广东醒狮）,国家级,西樵镇,112.987172,22.938068,传统舞蹈,高德地理编码API,广东省佛山市南海区西樵镇
十番音乐（佛山十番）,国家级,桂城街道,113.161502,23.037979,传统音乐,高德地理编码API,广东省佛山市南海区桂城街道
官窑生菜会,省级,狮山镇,113.079708,23.222817,民俗,高德地理编码API,广东省佛山市南海区官窑
灯会（乐安花灯会）,省级,桂城街道,113.161502,23.037979,民俗,高德地理编码API,广东省佛山市南海区乐安桂城街道
九江双蒸酒酿制技艺,省级,九江镇,112.993386,22.831323,传统技艺,高德地理编码API,广东省佛山市南海区九江九江镇
赛龙舟（九江传统龙舟）,省级,九江镇,112.993386,22.831323,传统体育,高德地理编码API,广东省佛山市南海区九江九江镇
端午节（盐步老龙礼俗）,省级,大沥镇,113.15967,23.084058,民俗,高德地理编码API,广东省佛山市南海区盐步老龙大沥镇盐步
咏春拳（叶问宗支）,省级,桂城街道,113.161502,23.037979,传统体育,高德地理编码API,广东省佛山市南海区桂城街道
藤编（大沥）,省级,大沥镇,113.149319,23.106918,传统技艺,高德地理编码API,广东省佛山市南海区大沥镇
藤编（里水）,省级,里水镇,113.164507,23.198906,传统技艺,高德地理编码API,广东省佛山市南海区里水镇
金箔锻造技艺,省级,大沥镇,113.149319,23.106918,传统技艺,高德地理编码API,广东省佛山市南海区大沥镇
庙会（大仙诞庙会）,省级,西樵镇,112.987172,22.938068,民俗,高德地理编码API,广东省佛山市南海区西樵镇
粤曲,省级,桂城街道,113.14645,23.022247,传统音乐,高德地理编码API,广东省佛山市南海区桂城街道佛山市南海区文化馆
糕点制作技艺（九江煎堆）,省级,九江镇,112.993386,22.831323,传统技艺,高德地理编码API,广东省佛山市南海区九江九江镇
九江鱼花生产习俗,省级,九江镇,112.993386,22.831323,民俗,高德地理编码API,广东省佛山市南海区九江九江镇
广式家具制作技艺,省级,九江镇,113.010807,22.863346,传统技艺,高德地理编码API,广东省佛山市南海区九江镇
洪拳（南海洪拳）,省级,西樵镇,112.987172,22.938068,传统体育,高德地理编码API,广东省佛山市南海区西樵镇
龙舟说唱,市级,桂城街道,113.161502,23.037979,传统音乐,高德地理编码API,广东省佛山市南海区桂城街道
白眉拳,市级,里水镇,113.164507,23.198906,传统体育,高德地理编码API,广东省佛山市南海区里水镇
大头佛,市级,西樵镇,112.987172,22.938068,传统舞蹈,高德地理编码API,广东省佛山市南海区西樵镇
南海灰塑,市级,狮山镇,113.034903,23.099202,传统美术,高德地理编码API,广东省佛山市南海区南海镇狮山镇
叠滘弯道赛龙船,市级,桂城街道,113.161502,23.037979,传统体育,高德地理编码API,广东省佛山市南海区叠滘桂城街道
平洲传统玉器制作技艺,市级,桂城街道,113.201638,23.029502,传统技艺,高德地理编码API,广东省佛山市南海区平洲玉器街道桂城街道平洲
丹灶葛洪炼丹传说,市级,丹灶镇,112.919229,23.051148,民间文学,高德地理编码API,广东省佛山市南海区丹灶丹灶镇
华岳心意六合八法拳,市级,大沥镇,113.149319,23.106918,传统体育,高德地理编码API,广东省佛山市南海区大沥镇
西樵传统缫丝技艺,市级,西樵镇,112.987172,22.938068,传统技艺,高德地理编码API,广东省佛山市南海区西樵西樵镇
